Id,Country,City,Lat,Lng
572,Armenia,Nalbandyan,40.0677778,43.9855537
573,Armenia,Tsovinar,40.1608333,45.4538879
574,Armenia,Verin Artashat,40.0005556,44.5849991
575,Armenia,Shahumyan,39.9308333,44.5783348
576,Armenia,Byurakan,40.3413889,44.273613
577,Armenia,Tsovagyugh,40.6330556,44.9522209
578,Armenia,Gandzak,40.3147222,45.1113892
579,Armenia,Arshaluys,40.1688889,44.2141685
580,Armenia,Voskevaz,40.2797222,44.2949982
581,Armenia,Aygavan,39.8647222,44.6702766
582,Armenia,Dzoragyugh,40.1752778,45.1749992
583,Armenia,Karbi,40.3338889,44.3777771
584,Armenia,Astghadzor,40.1238889,45.3566666
585,Armenia,Hovtashat,40.1019444,44.3427773
586,Armenia,Myasnikyan,40.1775,43.9063873
587,Armenia,Haghartsin,40.7780556,44.9625015
588,Armenia,Gay,40.0838889,44.3055573
589,Armenia,Margahovit,40.7380556,44.6875
590,Armenia,Vaghashen,40.1377778,45.3291664
591,Armenia,Aramus,40.2511111,44.6630554
592,Armenia,Artsvaberd,40.8336111,45.4711113
593,Armenia,Aygezard,39.9458333,44.6088905
594,Armenia,Berdavan,41.2027778,45.003334
595,Armenia,Bambakashat,40.1144444,44.0122223
596,Armenia,Arteni,40.2983333,43.7541656
597,Armenia,Dalarik,40.2183333,43.8602791
598,Armenia,Jrashen,40.7875,44.1972237
599,Armenia,Norashen,40.0041667,44.5947227
600,Armenia,Bagratashen,41.2458333,44.8211098
601,Armenia,Janfida,40.0455556,44.0208321
602,Armenia,Balahovit,40.2536111,44.6038895
603,Armenia,Marmarashen,40.0575,44.4711113
604,Armenia,Vostan,39.9588889,44.559166
605,Armenia,Aghavnatun,40.2336111,44.2513885
606,Armenia,Aygehovit,40.9744444,45.2519455
607,Armenia,Shnogh,41.1477778,44.8377762
608,Australia,Sydney,-33.86785,151.2073212
609,Australia,Melbourne,-37.8139966,144.9633179
610,Australia,Perth,-31.9333333,115.8333359
611,Australia,Adelaide,-34.9333333,138.6000061
612,Australia,Brisbane,-27.4679357,153.0280914
613,Australia,Gold Coast,-28,153.4333344
614,Australia,Newcastle,-32.9271484,151.776474
615,Australia,Canberra,-35.2834625,149.128067
616,Australia,Wollongong,-34.4333333,150.8833313
617,Australia,Geelong,-38.1471126,144.3607025
618,Australia,Cairns,-16.9166667,145.7666626
619,Australia,Geelong West,-38.1333333,144.3500061
620,Australia,Townsville,-19.25,146.8000031
621,Australia,Albury,-36.0833333,146.9166718
622,Australia,Nowra,-34.8833333,150.6000061
623,Australia,Darwin,-12.4611337,130.8418427
624,Australia,Toowoomba,-27.55,151.9666595
625,Australia,Ballarat,-37.5666667,143.8500061
626,Australia,Bendigo,-36.7666667,144.2833405
627,Australia,Mackay,-21.15,149.1999969
628,Australia,Mandurah,-32.55,115.6999969
629,Australia,Launceston,-41.45,147.1666718
630,Australia,Rockhampton,-23.3833333,150.5
631,Australia,Coffs Harbour,-30.3,153.1333313
632,Australia,South Brisbane,-27.4833333,153.0166626
633,Australia,Wagga Wagga,-35.1166667,147.3666687
634,Australia,Bundaberg,-24.85,152.3500061
635,Australia,Port Macquarie,-31.4333333,152.9166718
636,Australia,Mildura,-34.2,142.1499939
637,Australia,Hobart,-42.9166667,147.3333282
638,Australia,Torquay,-25.2833333,152.8666687
639,Australia,Mooloolaba,-26.6833333,153.1166687
640,Australia,Taree,-31.9,152.4666595
641,Australia,Cranbourne,-38.1,145.2833405
642,Australia,Caloundra,-26.8,153.1333313
643,Australia,Tamworth,-31.1,150.9333344
644,Australia,Kalgoorlie,-30.75,121.4666672
645,Australia,Shepparton,-36.3833333,145.3999939
646,Australia,Melton,-37.6833333,144.5833282
647,Australia,Queanbeyan,-35.35,149.2333374
648,Australia,Wodonga,-36.1166667,146.8833313
649,Australia,Lismore,-28.8135438,153.277298
650,Australia,Gladstone,-23.85,151.25
651,Australia,Orange,-33.2833333,149.1000061
652,Australia,Warrnambool,-38.3833333,142.4833374
653,Australia,Sunbury,-37.5833333,144.7333374
654,Australia,Dubbo,-32.25,148.6166687
655,Australia,Geraldton,-28.7666667,114.5999985
656,Australia,Bunbury,-33.3333333,115.6333313
657,Australia,Alice Springs,-23.7,133.8833313
658,Australia,Palmerston,-12.4860237,130.9832916
659,Australia,Albany,-35.0169444,117.8916702
660,Australia,Mount Gambier,-37.8333333,140.7666626
661,Australia,Armidale,-30.5166667,151.6499939
662,Australia,Mount Isa,-20.7333333,139.5
663,Australia,Caboolture,-27.0833333,152.9499969
664,Australia,Goulburn,-34.75,149.7166595
665,Australia,Mornington,-38.2166667,145.0333405
666,Australia,Maryborough,-25.5333333,152.6999969
667,Australia,Kwinana,-32.25,115.7666702
668,Australia,Burnie,-41.0666667,145.9166718
669,Australia,Brunswick,-37.7666667,144.9666595
670,Australia,Craigieburn,-37.6,144.9499969
671,Australia,Whyalla,-33.0333333,137.5833282
672,Australia,Echuca,-36.1333333,144.75
673,Australia,Devonport,-41.1666667,146.3500061
674,Australia,Roebourne,-20.7833333,117.1333313
675,Australia,Hornsby,-33.7,151.1000061
676,Australia,Katoomba,-33.7,150.3000031
677,Australia,Surfers Paradise,-28.0027378,153.4299927
